"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"140",98.25,98.839996,96.919998,97.339996,40382900,96.815526
"141",96.82,97.970001,96.419998,96.669998,56239800,96.149138
"142",104.269997,104.349998,102.75,102.949997,92344800,102.3953
"143",102.830002,104.449997,102.82,104.339996,39869800,103.77781
"144",104.190002,104.550003,103.68,104.209999,27733700,103.648513
"145",104.410004,106.150002,104.410004,106.050003,38167900,105.478603
"146",106.050003,106.07,104,104.480003,33816600,103.917063
"147",104.809998,105.839996,104.769997,105.790001,30202600,105.220002
"148",105.580002,106,105.279999,105.870003,27408700,105.870003
"149",106.269997,107.650002,106.18,107.480003,40553400,107.480003
"150",107.519997,108.370003,107.160004,108.370003,28037200,108.370003
"151",108.230003,108.940002,108.010002,108.809998,26315200,108.809998
"152",108.709999,108.900002,107.760002,108,24008500,108
"153",108.519997,108.93,107.849998,107.93,27484500,107.93
"154",107.779999,108.440002,107.779999,108.18,18660400,108.18
"155",108.139999,109.540001,108.080002,109.480003,25868200,109.480003
"156",109.629997,110.230003,109.209999,109.379997,33794400,109.379997
"157",109.099998,109.370003,108.339996,109.220001,25356000,109.220001
"158",109.230003,109.599998,109.019997,109.080002,21984700,109.080002
"159",108.769997,109.690002,108.360001,109.360001,25368100,109.360001
"160",108.860001,109.099998,107.849998,108.510002,25820200,108.510002
"161",108.589996,109.32,108.529999,108.849998,21257700,108.849998
"162",108.57,108.75,107.68,108.029999,23675100,108.029999
"163",107.389999,107.879997,106.68,107.57,25086200,107.57
