"","GLD.Open","GLD.High","GLD.Low","GLD.Close","GLD.Volume","GLD.Adjusted"
"164",107.330002,108.040001,107.110001,107.730003,8102100,107.730003
"165",108.169998,109.300003,108.120003,108.699997,7558900,108.699997
"166",108.190002,108.919998,108.029999,108.82,4532100,108.82
"167",109.629997,109.769997,108.940002,109.199997,7077800,109.199997
"168",109.010002,109.339996,108.459999,108.620003,4115700,108.620003
"169",107.769997,108.32,107.559998,107.839996,3913100,107.839996
"170",107.139999,107.559998,107.07,107.489998,4025000,107.489998
"171",107.599998,107.940002,107.309998,107.519997,5982100,107.519997
"172",106.639999,106.709999,105.480003,106.129997,8855100,106.129997
"173",106.610001,106.699997,106.18,106.379997,6204000,106.379997
"174",105.650002,106.199997,105.269997,106.160004,4023900,106.160004
"175",105.860001,106.389999,105.779999,106.220001,2350800,106.220001
"176",105.830002,106.059998,105.68,105.900002,2905000,105.900002
"177",106.599998,107.709999,106.559998,107.309998,5315600,107.309998
"178",107.07,108.580002,106.959999,108.410004,8403800,108.410004
"179",109.099998,109.379997,108.82,109.209999,6794300,109.209999
"180",108.489998,108.660004,108.330002,108.529999,4104800,108.529999
"181",107.580002,107.959999,107.440002,107.790001,5483300,107.790001
"182",108.540001,108.639999,108.199997,108.220001,2744200,108.220001
"183",109.669998,110.82,109.629997,110.489998,11024300,110.489998
"184",109.870003,110.029999,109.550003,109.809998,5209500,109.809998
"185",108.370003,108.910004,108.269997,108.419998,3809600,108.419998
"186",108.239998,108.690002,107.879997,107.980003,4043600,107.980003
"187",106.779999,107.080002,106.470001,106.860001,7405600,106.860001
"188",106.980003,107.209999,106.629997,106.730003,4278600,106.730003
"189",108.540001,109.32,108.540001,108.989998,7730600,108.989998
"190",109.139999,109.379997,108.459999,108.769997,5490200,108.769997
"191",109.800003,110.260002,109.629997,109.860001,7513900,109.860001
"192",109.75,110.139999,109.339996,109.699997,5355500,109.699997
"193",109.160004,110.269997,109.059998,109.139999,5038200,109.139999
"194",110.540001,111.050003,110.230003,110.870003,7907300,110.870003
"195",111.669998,111.730003,111.010002,111.309998,6257900,111.309998
"196",111.360001,111.870003,111.279999,111.860001,5149600,111.860001
"197",112.629997,113.949997,112.300003,113.809998,10207800,113.809998
"198",113.199997,113.989998,112.940002,113.290001,14083900,113.290001
"199",113.239998,113.440002,112.43,112.489998,6630800,112.489998
"200",112.639999,112.690002,111.889999,112.019997,3959400,112.019997
"201",112.379997,113.089996,112.379997,112.730003,4903200,112.730003
"202",112.370003,112.370003,111.410004,111.730003,3908800,111.730003
"203",111.519997,112.209999,111.43,111.690002,3436400,111.690002
"204",111.809998,111.839996,110.959999,111.5,4868400,111.5
"205",111.730003,111.980003,111.330002,111.43,2573500,111.43
"206",111.309998,111.809998,111.290001,111.68,2646100,111.68
"207",112.68,113.25,110.309998,110.779999,8201200,110.779999
"208",110.230003,110.599998,109.660004,109.720001,5150800,109.720001
"209",109.5,109.580002,109.059998,109.300003,5543200,109.300003
"210",108.639999,108.839996,108.459999,108.589996,5843300,108.589996
"211",107.790001,107.809998,106.68,106.980003,7145300,106.980003
"212",107.019997,107.089996,105.919998,105.970001,7617800,105.970001
"213",106.010002,106.099998,105.580002,105.639999,5931100,105.639999
"214",104.169998,104.419998,104.019997,104.099998,8831900,104.099998
"215",104.290001,104.580002,104.190002,104.400002,4129200,104.400002
"216",104.089996,104.650002,103.870003,104.18,4450800,104.18
